Species,Ecosystem,Speciation_mode,Island,lnsvl,lnfml,lnhdl,lntol,lntal,lnLAM
bicaorum,island,Dispersal,,1.90,0.77,0.50,0.24,2.50,2.83
bimaculatus,island,Dispersal,,2.51,1.21,1.22,0.90,3.13,3.37
biporcatus,mainland,,,2.28,0.92,0.98,0.57,3.02,3.10
bremeri,island,in situ,Cuba,1.98,0.66,0.68,0.37,2.41,2.94
breslini,island,in situ,Hispaniola,1.74,0.57,0.60,0.14,2.24,2.77
brevirostris,island,in situ,Hispaniola,1.67,0.43,0.33,-0.23,2.04,2.83
brunneus,island,in situ,,2.03,0.58,0.89,0.06,2.72,3.04
capito,mainland,,,2.25,1.17,0.86,0.78,2.88,2.83
carolinensis,mainland,,,1.96,0.55,0.76,0.19,2.61,3.18
carpenteri,mainland,,,1.51,0.20,0.07,-0.39,1.99,2.77
casildae,mainland,,,2.34,1.17,1.01,0.91,3.37,3.14
caudalis,island,in situ,Hispaniola,1.67,0.32,0.32,-0.10,1.96,2.77
centralis,island,in situ,Cuba,1.44,-0.05,0.14,-0.39,1.85,2.83
chamaeleonides,island,in situ,Cuba,2.88,1.37,1.66,0.84,2.98,3.56
chlorocyanus,island,in situ,Hispaniola,2.08,0.79,0.74,0.31,2.79,3.37
christophei,island,in situ,Hispaniola,1.61,0.36,0.30,0.14,2.19,3.00
clivicola,island,in situ,Cuba,1.59,0.35,0.32,-0.12,2.38,2.83
coelestinus,island,in situ,Hispaniola,2.13,0.73,0.83,0.47,2.75,3.30
confusus,island,in situ,Cuba,1.59,0.35,0.28,-0.02,2.00,2.89
conspersus,island,Dispersal,,1.95,0.58,0.64,0.18,2.64,3.14
cooki,island,in situ,Puerto Rico,1.99,0.79,0.72,0.28,2.73,2.89
crassulus,mainland,,,1.67,0.39,0.32,-0.02,2.34,2.77
cristatellus,island,Dispersal,Puerto Rico,2.08,0.89,0.80,0.42,2.56,3.00
cupeyalensis,island,in situ,Cuba,1.23,-0.22,-0.08,-0.43,2.33,2.77
